trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.9, 'e': 0.19659686843644067}",20,0,-44.71031363649124,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.1913597719410906}",20,0,-158.3700691319154,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
61,False,"{'a': 0.9, 'e': 0.18626218519439391}",20,0,-105.52250454392059,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
62,False,"{'a': 0.9, 'e': 0.18130039182985122}",25,0,-63.889063813176485,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
63,False,"{'a': 0.9, 'e': 0.17647077448035273}",30,17,-88.43734499842415,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 2}",1
64,False,"{'a': 0.9, 'e': 0.17176981214095735}",25,0,-207.9116434154986,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
65,False,"{'a': 0.9, 'e': 0.16719407760192437}",25,0,-81.54976828328037,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
66,False,"{'a': 0.9, 'e': 0.1627402349501254}",25,0,-39.78998982262241,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
67,False,"{'a': 0.9, 'e': 0.15840503713701634}",20,0,-144.89023895977132,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
68,False,"{'a': 0.9, 'e': 0.15418532361139492}",30,0,-102.7693945861744,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
69,False,"{'a': 0.9, 'e': 0.15007801801521897}",25,0,-28.225747062372612,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
70,False,"{'a': 0.9, 'e': 0.14608012594080533}",20,0,-113.20703706364309,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
71,False,"{'a': 0.9, 'e': 0.14218873274777372}",20,0,-79.98396002226156,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
